"software_id,name,category,department_owner,license_type,cost_per_license_usd,total_licenses_purchased,active_assignments,auto_approval_roles,requires_manager_approval,description"
"SW-101,Salesforce Sales Cloud,CRM & Sales,Sales,Per User / Monthly,150,50,42,""Account Executive|Sales Manager|VP of Sales"",true,""Customer relationship management platform for pipeline management, opportunity tracking, and revenue forecasting."""
"SW-102,Datadog,Infrastructure & Monitoring,Engineering,Usage Based / Host,85,35,28,""DevOps Engineer|Site Reliability Engineer|VP of Engineering"",false,""Cloud monitoring, Application Performance Monitoring (APM), and log management platform."""
"SW-103,Figma Enterprise,Design & UX,Product,Per User / Monthly,45,30,22,""UI/UX Designer|Product Designer|Product Manager"",true,""Collaborative vector design, wireframing, and interactive UI prototyping platform."""
"SW-104,Snowflake Data Cloud,Database & Analytics,Data Science,Capacity Based,200,25,19,""Data Engineer|Data Scientist|Analytics Engineer"",true,""Cloud data warehousing platform for scalable analytics and query execution."""
"SW-105,Workday HCM,Human Resources,Human Resources,Enterprise Flat Rate,30,100,100,""HRBP|HR Specialist|VP of Human Resources"",false,""Core HR, payroll, benefits administration, and employee self-service platform."""
"SW-106,GitHub Enterprise,Developer Tools,Engineering,Per User / Monthly,21,75,64,""Software Engineer|Frontend Developer|Backend Developer|DevOps Engineer"",false,""Version control platform for git repositories, pull requests, and CI/CD pipelines."""
"SW-107,Splunk Enterprise Security,Security & SIEM,Information Security,Ingestion Volume,300,15,11,""Security Engineer|SOC Analyst|CISO"",true,""Security information and event management (SIEM) tool for threat response."""
"SW-108,Tableau Server,Business Intelligence,Data Science,Per User / Monthly,70,45,38,""BI Analyst|Data Analyst|Finance Manager"",true,""Interactive data visualization and business intelligence dashboard server."""
"SW-109,Jira Service Management,ITSM & Ticketing,IT Support,Per User / Monthly,20,100,100,""IT Support Specialist|System Administrator|Helpdesk Agent"",false,""IT service desk ticket queue management and incident resolution platform."""
"SW-110,Ironclad,Legal & Contracts,Legal,Per User / Monthly,110,15,8,""Legal Counsel|Contract Administrator|VP of Legal"",true,""Digital contract lifecycle management and legal workflow approval platform."""
"SW-111,AWS Management Console,Cloud Infrastructure,Engineering,Usage Based,250,40,31,""Cloud Architect|DevOps Engineer|Backend Developer"",true,""Amazon Web Services cloud infrastructure control and resource management."""
"SW-112,TestRail Enterprise,QA & Testing,Quality Assurance,Per User / Monthly,36,25,18,""QA Engineer|Automation Tester|QA Lead"",false,""Centralized test case management system for automated and manual QA runs."""
"SW-113,Postman Enterprise,Developer Tools,Engineering,Per User / Monthly,29,50,44,""Software Engineer|API Specialist|QA Engineer"",false,""API building, testing, documentation, and mock environment platform."""
"SW-114,LinkedIn Recruiter,Talent Acquisition,Human Resources,Per User / Yearly,830,10,7,""Technical Recruiter|Talent Acquisition Lead|HR Manager"",true,""Sourcing and candidate relationship management network for hiring."""
"SW-115,Sprout Social,Marketing Tech,Marketing,Per User / Monthly,249,12,9,""Social Media Specialist|Marketing Manager|Brand Lead"",true,""Social media management, scheduling, engagement, and audience analytics tool."""
"SW-116,Miro Enterprise,Productivity & Collaboration,Product,Per User / Monthly,16,80,62,""Product Manager|UX Designer|Scrum Master|Agile Coach"",false,""Visual workspace and digital whiteboard tool for team brainstorming and mapping."""
"SW-117,Adobe Creative Cloud,Design & Media,Marketing,Per User / Monthly,85,20,15,""Graphic Designer|Video Editor|Content Specialist"",true,""Suite of creative tools including Photoshop, Illustrator, Premiere Pro, and InDesign."""
"SW-118,Outreach.io,Sales Engagement,Sales,Per User / Monthly,120,30,25,""Sales Development Rep|Account Executive|Sales Manager"",true,""Sales execution platform for automated email sequences and prospect cadence."""
"SW-119,Gong.io,Revenue Intelligence,Sales,Per User / Yearly,1200,35,30,""Account Executive|Sales Manager|Customer Success Manager"",true,""Revenue intelligence platform analyzing customer interactions and sales call audio."""
"SW-120,Terraform Cloud,Infrastructure as Code,Engineering,Tiered Managed Runs,70,25,17,""DevOps Engineer|Cloud Engineer|Infrastructure Architect"",false,""Infrastructure as Code provisioning tool for managing multi-cloud resources."""
