"ticket_id,employee_id,title,category,priority,status,created_date,resolved_date,assigned_to"
"TCK-1001,EMP-006,Laptop battery draining rapidly,Hardware,Medium,Resolved,2026-05-10,2026-05-12,EMP-018"
"TCK-1002,EMP-010,Access request for TestRail admin console,Access Control,High,Resolved,2026-05-11,2026-05-11,EMP-017"
"TCK-1003,EMP-028,Salesforce SSO login failing after password reset,Software,High,Resolved,2026-05-14,2026-05-14,EMP-019"
"TCK-1004,EMP-031,Request Databricks cluster memory upgrade,Infrastructure,Medium,In Progress,2026-05-18,,EMP-034"
"TCK-1005,EMP-043,LinkedIn Recruiter seat allocation,Software,Low,Resolved,2026-05-19,2026-05-20,EMP-018"
"TCK-1006,EMP-052,Datadog API key rotation required,Security,High,Resolved,2026-05-22,2026-05-22,EMP-085"
"TCK-1007,EMP-065,Monitor flickering on secondary display,Hardware,Low,Resolved,2026-05-25,2026-05-26,EMP-065"
"TCK-1008,EMP-071,Flutter SDK environment setup permissions,Software,Medium,Resolved,2026-05-28,2026-05-29,EMP-019"
"TCK-1009,EMP-082,React DevTools chrome extension blocked,Access Control,Low,Closed,2026-06-01,2026-06-01,EMP-019"
"TCK-1010,EMP-092,Snowflake warehouse query timeout issue,Database,High,Resolved,2026-06-03,2026-06-04,EMP-042"
"TCK-1011,EMP-008,Figma Enterprise license provisioning,Software,Medium,Resolved,2026-06-05,2026-06-06,EMP-018"
"TCK-1012,EMP-016,ADP payroll export tool failing on CSV format,Software,Critical,Resolved,2026-06-08,2026-06-08,EMP-075"
"TCK-1013,EMP-024,WordPress staging site SSL certificate expired,Security,High,Resolved,2026-06-10,2026-06-10,EMP-034"
"TCK-1014,EMP-038,Splunk SIEM alert threshold adjustment,Security,Medium,In Progress,2026-06-12,,EMP-085"
"TCK-1015,EMP-045,Cisco Meraki VPN connection drops on macOS,Network,High,Resolved,2026-06-15,2026-06-16,EMP-045"
"TCK-1016,EMP-055,Jira Service Desk queue automation rule broken,Software,Medium,Resolved,2026-06-18,2026-06-19,EMP-095"
"TCK-1017,EMP-060,Selenium grid execution nodes timing out,Infrastructure,High,Resolved,2026-06-20,2026-06-21,EMP-034"
"TCK-1018,EMP-074,NetSuite tax table update for Q3,Software,Medium,Resolved,2026-06-22,2026-06-23,EMP-017"
"TCK-1019,EMP-088,SproutSocial account seat reassignment,Access Control,Low,Resolved,2026-06-25,2026-06-25,EMP-018"
"TCK-1020,EMP-097,Tableau dashboard refresh failure on schedule,Software,Medium,In Progress,2026-06-28,,EMP-095"
"TCK-1021,EMP-007,PostgreSQL production read-replica latency,Database,Critical,Resolved,2026-07-01,2026-07-01,EMP-042"
"TCK-1022,EMP-013,Workday onboarding workflow error for remote hires,Software,High,Resolved,2026-07-03,2026-07-04,EMP-017"
"TCK-1023,EMP-022,Miro board export to PDF corrupted,Software,Low,Closed,2026-07-05,2026-07-06,EMP-018"
"TCK-1024,EMP-035,Excel Enterprise macro security blocking sheet,Software,Medium,Resolved,2026-07-08,2026-07-08,EMP-065"
"TCK-1025,EMP-049,Outreach email cadence sync failure,Software,Medium,In Progress,2026-07-10,,EMP-018"
"TCK-1026,EMP-058,Adobe Creative Cloud font sync issue,Software,Low,Resolved,2026-07-12,2026-07-13,EMP-065"
"TCK-1027,EMP-068,Google Ads conversion tracking pixel broken,Marketing Tech,High,Resolved,2026-07-15,2026-07-16,EMP-034"
"TCK-1028,EMP-075,VMware ESXi host hardware alarm in NY DC,Hardware,Critical,Resolved,2026-07-18,2026-07-18,EMP-075"
"TCK-1029,EMP-086,Cypress e2e test suite failure on CI runner,Infrastructure,Medium,In Progress,2026-07-20,,EMP-034"
"TCK-1030,EMP-091,Java JDK 21 installation request on dev VDI,Software,Low,Resolved,2026-07-22,2026-07-22,EMP-019"
"TCK-1031,EMP-009,Kubernetes pod OOMKilled in staging cluster,Infrastructure,High,Resolved,2026-07-24,2026-07-25,EMP-034"
"TCK-1032,EMP-019,ServiceNow ticketing SLA trigger misconfiguration,Software,Medium,In Progress,2026-07-26,,EMP-095"
"TCK-1033,EMP-027,Gong meeting recorder not joining Zoom calls,Software,Medium,Open,2026-07-28,,EMP-018"
"TCK-1034,EMP-050,Ironclad contract workflow approval bypass bug,Security,Critical,Open,2026-07-30,,EMP-085"
"TCK-1035,EMP-081,Terraform state lock release request on AWS,Infrastructure,High,Open,2026-08-01,,EMP-034"
