"employee_id,annual_leave_total,annual_leave_used,annual_leave_remaining,sick_leave_total,sick_leave_used,sick_leave_remaining,casual_leave_remaining"
"EMP-001,20,3,17,10,0,10,3"
"EMP-002,20,7,13,10,3,7,2"
"EMP-003,20,3,17,10,1,9,5"
"EMP-004,20,13,7,10,0,10,1"
"EMP-005,20,2,18,10,3,7,2"
"EMP-006,20,4,16,10,2,8,3"
"EMP-007,20,1,19,10,4,6,3"
"EMP-008,20,13,7,10,0,10,2"
"EMP-009,20,14,6,10,2,8,2"
"EMP-010,20,0,20,10,0,10,1"
"EMP-011,20,3,17,10,5,5,4"
"EMP-012,20,6,14,10,3,7,4"
"EMP-013,20,12,8,10,3,7,4"
"EMP-014,20,13,7,10,1,9,1"
"EMP-015,20,11,9,10,1,9,3"
"EMP-016,20,15,5,10,2,8,1"
"EMP-017,20,13,7,10,3,7,4"
"EMP-018,20,14,6,10,0,10,5"
"EMP-019,20,2,18,10,2,8,2"
"EMP-020,20,13,7,10,3,7,1"
"EMP-021,20,12,8,10,6,4,5"
"EMP-022,20,1,19,10,1,9,3"
"EMP-023,20,14,6,10,2,8,5"
"EMP-024,20,1,19,10,3,7,3"
"EMP-025,20,13,7,10,4,6,1"
"EMP-026,20,3,17,10,4,6,2"
"EMP-027,20,7,13,10,4,6,5"
"EMP-028,20,14,6,10,1,9,2"
"EMP-029,20,11,9,10,1,9,2"
"EMP-030,20,0,20,10,3,7,1"
"EMP-031,20,0,20,10,0,10,2"
"EMP-032,20,10,10,10,4,6,3"
"EMP-033,20,6,14,10,5,5,4"
"EMP-034,20,10,10,10,0,10,1"
"EMP-035,20,9,11,10,4,6,2"
"EMP-036,20,2,18,10,5,5,3"
"EMP-037,20,4,16,10,2,8,3"
"EMP-038,20,15,5,10,5,5,4"
"EMP-039,20,11,9,10,6,4,5"
"EMP-040,20,13,7,10,7,3,2"
"EMP-041,20,14,6,10,2,8,1"
"EMP-042,20,6,14,10,3,7,4"
"EMP-043,20,13,7,10,5,5,5"
"EMP-044,20,12,8,10,2,8,2"
"EMP-045,20,8,12,10,0,10,1"
"EMP-046,20,13,7,10,3,7,3"
"EMP-047,20,1,19,10,1,9,4"
"EMP-048,20,4,16,10,0,10,2"
"EMP-049,20,11,9,10,2,8,1"
"EMP-050,20,9,11,10,0,10,3"
"EMP-051,20,3,17,10,3,7,1"
"EMP-052,20,8,12,10,6,4,2"
"EMP-053,20,10,10,10,1,9,4"
"EMP-054,20,10,10,10,6,4,3"
"EMP-055,20,2,18,10,6,4,1"
"EMP-056,20,2,18,10,0,10,3"
"EMP-057,20,14,6,10,6,4,3"
"EMP-058,20,13,7,10,0,10,1"
"EMP-059,20,12,8,10,1,9,1"
"EMP-060,20,8,12,10,3,7,1"
"EMP-061,20,1,19,10,0,10,4"
"EMP-062,20,10,10,10,6,4,4"
"EMP-063,20,15,5,10,6,4,5"
"EMP-064,20,7,13,10,1,9,2"
"EMP-065,20,2,18,10,1,9,1"
"EMP-066,20,7,13,10,2,8,5"
"EMP-067,20,10,10,10,5,5,2"
"EMP-068,20,7,13,10,5,5,3"
"EMP-069,20,6,14,10,2,8,4"
"EMP-070,20,13,7,10,0,10,1"
"EMP-071,20,12,8,10,5,5,5"
"EMP-072,20,2,18,10,6,4,4"
"EMP-073,20,2,18,10,4,6,2"
"EMP-074,20,0,20,10,5,5,3"
"EMP-075,20,2,18,10,7,3,5"
"EMP-076,20,1,19,10,4,6,3"
"EMP-077,20,13,7,10,7,3,2"
"EMP-078,20,7,13,10,2,8,1"
"EMP-079,20,2,18,10,1,9,5"
"EMP-080,20,6,14,10,2,8,4"
"EMP-081,20,0,20,10,3,7,2"
"EMP-082,20,0,20,10,0,10,3"
"EMP-083,20,1,19,10,6,4,4"
"EMP-084,20,6,14,10,3,7,4"
"EMP-085,20,3,17,10,0,10,4"
"EMP-086,20,2,18,10,1,9,1"
"EMP-087,20,1,19,10,7,3,2"
"EMP-088,20,11,9,10,0,10,1"
"EMP-089,20,14,6,10,7,3,1"
"EMP-090,20,12,8,10,0,10,2"
"EMP-091,20,10,10,10,2,8,2"
"EMP-092,20,14,6,10,6,4,5"
"EMP-093,20,8,12,10,3,7,1"
"EMP-094,20,0,20,10,2,8,4"
"EMP-095,20,12,8,10,6,4,4"
"EMP-096,20,10,10,10,4,6,3"
"EMP-097,20,4,16,10,0,10,3"
"EMP-098,20,0,20,10,1,9,4"
"EMP-099,20,6,14,10,1,9,4"
"EMP-100,20,13,7,10,0,10,4"
